date_str,Pedidos,Ventas totales,fecha,pedidos,ventas,diff_ped,diff_ventas
2025-01-03,0,0.0,2025-01-03,1,3880.0,1,3880.0
2025-01-06,1,44900.0,2025-01-06,3,632400.0,2,587500.0
2025-01-07,3,795190.0,2025-01-07,2,232190.0,-1,-563000.0
2025-01-08,2,59660.0,2025-01-08,4,427550.0,2,367890.0
2025-01-09,1,306000.0,2025-01-09,2,218780.0,1,-87220.0
2025-01-10,2,118480.0,2025-01-10,1,20700.0,-1,-97780.0
2025-01-13,4,98720.0,2025-01-13,5,838720.0,1,740000.0
2025-01-14,5,201062.0,2025-01-14,6,333062.0,1,132000.0
2025-01-16,0,0.0,2025-01-16,1,26400.0,1,26400.0
2025-01-18,0,0.0,2025-01-18,1,185250.0,1,185250.0
2025-01-20,3,127000.0,2025-01-20,5,278145.0,2,151145.0
2025-01-21,5,418628.0,2025-01-21,3,298233.0,-2,-120395.0
2025-01-22,1,348954.0,2025-01-22,2,365954.0,1,17000.0
2025-01-23,2,311000.0,2025-01-23,2,153950.0,0,-157050.0
2025-01-24,2,85450.0,2025-01-24,2,288133.0,0,202683.0
2025-01-25,1,52130.0,2025-01-25,2,170130.0,1,118000.0
2025-01-27,4,181831.0,2025-01-27,6,263624.0,2,81793.0
2025-01-28,2,83738.0,2025-01-28,4,371637.0,2,287899.0
2025-01-29,2,185450.0,2025-01-29,1,67450.0,-1,-118000.0
2025-01-30,2,51278.0,2025-01-30,3,350930.0,1,299652.0
2025-01-31,3,193290.0,2025-01-31,3,127490.0,0,-65800.0
2025-02-03,2,67250.0,2025-02-03,5,815450.0,3,748200.0
2025-02-04,2,483640.0,2025-02-04,3,702230.0,1,218590.0
2025-02-05,5,518639.0,2025-02-05,4,82239.0,-1,-436400.0
2025-02-07,0,0.0,2025-02-07,3,499080.0,3,499080.0
2025-02-10,2,88489.0,2025-02-10,3,90157.0,1,1668.0
2025-02-11,4,462768.0,2025-02-11,2,81340.0,-2,-381428.0
2025-02-16,0,0.0,2025-02-16,1,8492.0,1,8492.0
2025-02-17,1,99070.0,2025-02-17,2,394260.0,1,295190.0
2025-02-18,0,0.0,2025-02-18,2,70425.0,2,70425.0
2025-02-19,6,276586.0,2025-02-19,7,354586.0,1,78000.0
2025-02-21,0,0.0,2025-02-21,1,1233.0,1,1233.0
2025-02-24,6,318628.0,2025-02-24,4,298460.0,-2,-20168.0
2025-03-02,0,0.0,2025-03-02,1,103930.0,1,103930.0
2025-03-03,2,56340.0,2025-03-03,5,1241070.0,3,1184730.0
2025-03-04,4,716190.0,2025-03-04,3,109880.0,-1,-606310.0
2025-03-05,3,491760.0,2025-03-05,5,3879058.0,2,3387298.0
2025-03-10,5,659520.0,2025-03-10,5,223190.0,0,-436330.0
2025-03-11,3,77830.0,2025-03-11,5,683440.0,2,605610.0
2025-03-14,2,55350.0,2025-03-14,3,70973.0,1,15623.0
2025-03-15,1,166840.0,0,0,0.0,-1,-166840.0
2025-03-17,0,0.0,2025-03-17,1,149200.0,1,149200.0
2025-03-18,1,40200.0,2025-03-18,7,1135458.0,6,1095258.0
2025-03-19,4,141230.0,2025-03-19,5,172830.0,1,31600.0
2025-03-20,2,12380.0,2025-03-20,2,140225.0,0,127845.0
2025-03-21,5,628808.0,2025-03-21,3,154750.0,-2,-474058.0
2025-03-24,0,0.0,2025-03-24,4,501680.0,4,501680.0
2025-03-25,2,39200.0,2025-03-25,3,413300.0,1,374100.0
2025-03-27,2,306560.0,2025-03-27,2,124460.0,0,-182100.0
2025-03-28,0,0.0,2025-03-28,2,164580.0,2,164580.0
2025-03-29,1,52070.0,2025-03-29,2,70583.0,1,18513.0
2025-03-31,3,145988.0,2025-03-31,4,457220.0,1,311232.0
2025-04-02,2,31140.0,2025-04-02,4,159140.0,2,128000.0
2025-04-03,3,190500.0,2025-04-03,3,348500.0,0,158000.0
2025-04-04,0,0.0,2025-04-04,1,14800.0,1,14800.0
2025-04-07,2,125140.0,2025-04-07,7,548690.0,5,423550.0
2025-04-09,3,80060.0,2025-04-09,4,86843.0,1,6783.0
2025-04-10,1,47880.0,2025-04-10,3,187070.0,2,139190.0
2025-04-11,0,0.0,2025-04-11,1,157500.0,1,157500.0
2025-04-14,0,0.0,2025-04-14,1,122500.0,1,122500.0
2025-04-15,1,20000.0,2025-04-15,3,103200.0,2,83200.0
2025-04-16,3,96695.0,2025-04-16,4,157475.0,1,60780.0
2025-04-17,7,630970.0,2025-04-17,2,421670.0,-5,-209300.0
2025-04-21,4,138999.0,2025-04-21,5,276949.0,1,137950.0
2025-04-22,3,402225.0,2025-04-22,4,405158.0,1,2933.0
2025-04-30,3,178782.0,2025-04-30,5,258762.0,2,79980.0
2025-05-13,3,639680.0,2025-05-13,2,564800.0,-1,-74880.0
2025-05-15,3,94980.0,2025-05-15,6,991561.0,3,896581.0
2025-05-16,3,543250.0,2025-05-16,1,29850.0,-2,-513400.0
2025-05-19,2,179660.0,2025-05-19,3,239700.0,1,60040.0
2025-05-20,2,139460.0,2025-05-20,1,79420.0,-1,-60040.0
2025-05-22,5,231121.0,2025-05-22,5,410970.0,0,179849.0
2025-05-23,3,57050.0,2025-05-23,4,82750.0,1,25700.0
2025-05-26,4,667242.0,2025-05-26,3,445222.0,-1,-222020.0
2025-05-27,2,133189.0,2025-05-27,3,142389.0,1,9200.0
2025-05-29,1,119643.0,2025-05-29,2,159443.0,1,39800.0
2025-06-03,6,1266922.0,2025-06-03,5,1302340.0,-1,35418.0
2025-06-04,4,252613.0,2025-06-04,5,329393.0,1,76780.0
2025-06-08,3,299380.0,2025-06-08,4,325280.0,1,25900.0
2025-06-09,4,189700.0,2025-06-09,2,108800.0,-2,-80900.0
2025-06-10,1,531000.0,2025-06-10,2,592830.0,1,61830.0
2025-06-15,15,246307.0,2025-06-15,2,88830.0,-13,-157477.0
2025-06-16,0,0.0,2025-06-16,1,181990.0,1,181990.0
2025-06-17,2,102170.0,2025-06-17,1,39370.0,-1,-62800.0
2025-06-19,1,22000.0,2025-06-19,2,92250.0,1,70250.0
2025-06-22,1,33800.0,2025-06-22,2,75960.0,1,42160.0
2025-06-23,4,806910.0,2025-06-23,3,771840.0,-1,-35070.0
2025-06-24,4,178240.0,2025-06-24,5,574540.0,1,396300.0
2025-06-25,6,1006370.0,2025-06-25,4,554030.0,-2,-452340.0
2025-06-27,3,323130.0,2025-06-27,2,233900.0,-1,-89230.0
2025-06-30,0,0.0,2025-06-30,1,30700.0,1,30700.0
2025-07-01,4,201120.0,2025-07-01,5,797620.0,1,596500.0
2025-07-02,1,449450.0,0,0,0.0,-1,-449450.0
2025-07-04,3,93750.0,2025-07-04,5,203950.0,2,110200.0
2025-07-07,7,872900.0,2025-07-07,5,599940.0,-2,-272960.0
2025-07-08,4,787410.0,2025-07-08,4,1249420.0,0,462010.0
2025-07-09,3,95610.0,2025-07-09,2,33780.0,-1,-61830.0
2025-07-11,1,56570.0,2025-07-11,3,462690.0,2,406120.0
2025-07-14,2,231520.0,2025-07-14,1,83020.0,-1,-148500.0
2025-07-15,2,388950.0,2025-07-15,6,375220.0,4,-13730.0
2025-07-17,2,123950.0,2025-07-17,2,15943.0,0,-108007.0
2025-07-21,0,0.0,2025-07-21,1,29230.0,1,29230.0
2025-07-22,5,295824.0,2025-07-22,7,489854.0,2,194030.0
2025-07-23,4,664110.0,2025-07-23,3,1005650.0,-1,341540.0
2025-07-24,4,694379.0,2025-07-24,2,80019.0,-2,-614360.0
2025-07-26,1,23228.0,2025-07-26,2,85898.0,1,62670.0
2025-07-28,3,144191.0,2025-07-28,2,81521.0,-1,-62670.0
2025-07-29,5,152198.0,2025-07-29,4,128698.0,-1,-23500.0
2025-07-30,8,269732.0,2025-07-30,3,156349.0,-5,-113383.0
2025-08-02,0,0.0,2025-08-02,1,55440.0,1,55440.0
2025-08-04,3,140620.0,2025-08-04,5,510181.0,2,369561.0
2025-08-05,4,386551.0,2025-08-05,5,521670.0,1,135119.0
2025-08-06,7,801290.0,2025-08-06,6,563340.0,-1,-237950.0
2025-08-07,2,67250.0,2025-08-07,2,146890.0,0,79640.0
2025-08-08,5,402280.0,2025-08-08,3,202410.0,-2,-199870.0
2025-08-11,2,101100.0,2025-08-11,1,23100.0,-1,-78000.0
2025-08-12,3,211730.0,2025-08-12,3,697090.0,0,485360.0
2025-08-14,5,773610.0,2025-08-14,4,157610.0,-1,-616000.0
2025-08-19,2,138410.0,2025-08-19,3,203580.0,1,65170.0
2025-08-20,3,94650.0,2025-08-20,4,306650.0,1,212000.0
2025-08-21,2,277170.0,0,0,0.0,-2,-277170.0
2025-08-24,1,30760.0,2025-08-24,2,59760.0,1,29000.0
2025-08-26,3,60050.0,2025-08-26,5,414880.0,2,354830.0
2025-08-27,1,40750.0,2025-08-27,3,133050.0,2,92300.0
2025-08-28,2,227830.0,2025-08-28,1,390000.0,-1,162170.0
2025-09-01,5,452290.0,2025-09-01,3,57990.0,-2,-394300.0
2025-09-02,1,16230.0,2025-09-02,2,36460.0,1,20230.0
2025-09-03,4,194790.0,2025-09-03,5,959560.0,1,764770.0
2025-09-04,4,805480.0,2025-09-04,2,74480.0,-2,-731000.0
2025-09-08,4,253669.0,2025-09-08,5,509319.0,1,255650.0
2025-09-09,3,169283.0,2025-09-09,3,359633.0,0,190350.0
2025-09-10,3,659450.0,2025-09-10,1,71450.0,-2,-588000.0
2025-09-15,1,156000.0,0,0,0.0,-1,-156000.0
2025-09-22,0,0.0,2025-09-22,2,129030.0,2,129030.0
2025-09-23,3,391830.0,2025-09-23,1,262800.0,-2,-129030.0
2025-09-29,3,195400.0,2025-09-29,6,782450.0,3,587050.0
2025-09-30,3,227700.0,2025-09-30,1,46350.0,-2,-181350.0
2025-10-01,0,0.0,2025-10-01,3,471600.0,3,471600.0
2025-10-02,0,0.0,2025-10-02,1,42320.0,1,42320.0
2025-10-03,5,937226.0,2025-10-03,1,44556.0,-4,-892670.0
2025-10-04,2,43200.0,2025-10-04,1,16250.0,-1,-26950.0
2025-10-06,2,92300.0,2025-10-06,3,193190.0,1,100890.0
2025-10-07,6,332802.0,2025-10-07,5,231912.0,-1,-100890.0
2025-10-09,0,0.0,2025-10-09,1,293600.0,1,293600.0
2025-10-13,0,0.0,2025-10-13,2,68260.0,2,68260.0
2025-10-14,3,672190.0,2025-10-14,2,378590.0,-1,-293600.0
2025-10-15,5,871710.0,2025-10-15,5,841640.0,0,-30070.0
2025-10-17,2,42590.0,2025-10-17,2,56050.0,0,13460.0
2025-10-20,2,64450.0,2025-10-20,1,14000.0,-1,-50450.0
2025-10-21,4,474700.0,2025-10-21,5,978700.0,1,504000.0
2025-10-27,3,34900.0,2025-10-27,2,152500.0,-1,117600.0
2025-11-03,3,611600.0,2025-11-03,2,107600.0,-1,-504000.0
2025-11-05,1,19670.0,2025-11-05,2,52900.0,1,33230.0
2025-11-06,5,437890.0,2025-11-06,4,309890.0,-1,-128000.0
2025-11-10,3,184090.0,2025-11-10,5,318090.0,2,134000.0
2025-11-11,5,585000.0,2025-11-11,4,905000.0,-1,320000.0
2025-11-12,1,104570.0,2025-11-12,2,189570.0,1,85000.0
2025-11-13,2,153210.0,2025-11-13,1,68210.0,-1,-85000.0
2025-11-14,2,45030.0,2025-11-14,1,11800.0,-1,-33230.0
2025-11-17,2,515480.0,2025-11-17,3,682560.0,1,167080.0
2025-11-18,4,723980.0,2025-11-18,2,102900.0,-2,-621080.0
2025-11-19,2,48120.0,2025-11-19,1,24600.0,-1,-23520.0
2025-11-28,0,0.0,2025-11-28,1,31900.0,1,31900.0
2025-12-03,2,97564.0,2025-12-03,2,356944.0,0,259380.0
2025-12-04,3,624260.0,2025-12-04,2,332980.0,-1,-291280.0
2025-12-09,2,62680.0,2025-12-09,4,531930.0,2,469250.0
2025-12-10,2,121700.0,2025-12-10,3,167900.0,1,46200.0
2025-12-11,5,619890.0,2025-12-11,2,104440.0,-3,-515450.0
2025-12-19,0,0.0,2025-12-19,1,382500.0,1,382500.0
